"last_name","frequency"
"Baba","226"
"Coorg","223"
"Gelosh","223"
"Farris","222"
"Sudbeck","222"
"Adachi","221"
"Osgood","220"
"Mandell","218"
"Masada","218"
"Neiman","218"
"Wendorf","217"
"Boudaillier","217"
"Mahnke","216"
"Cummings","216"
"Solares","216"
"Pettis","216"
"Kulisch","215"
"Collette","215"
"Birjandi","215"
"Emmart","215"
"Maksimenko","215"
"Rosaz","214"
"Boguraev","214"
"Scallan","214"
"Pokrovskii","214"
"Wolniewicz","213"
"Stifter","213"
"Siksek","213"
"Morrey","213"
"Siepmann","212"
"Taubman","212"
"Herber","212"
"Peek","212"
"Swen","212"
"Rabehasaina","212"
"Rajcani","212"
"Pramanik","212"
"Garrabrants","212"
"Gente","211"
"Barriga","211"
"Cangellaris","211"
"Kamber","211"
"Kitsuregawa","211"
"Ghemri","211"
"Ventosa","211"
"Asser","211"
"Driscoll","210"
"Bolsens","210"
"Luce","210"
"Schaaf","210"
"Redmiles","210"
"Chenney","209"
"Zuberek","209"
"Lunt","209"
"Serra","209"
"Lamparter","209"
"Flowers","209"
"Gewali","209"
"Khasidashvili","209"
"Gerlach","209"
"Malabarba","209"
"Aloia","208"
"Panienski","208"
"Gecsei","208"
"Jenevein","208"
"Cesareni","208"
"Lowrie","208"
"Lamba","207"
"Akazan","207"
"Angelopoulos","207"
"Garnier","207"
"Gaughan","206"
"Perng","206"
"Hebert","206"
"Braunmuhl","206"
"Foote","206"
"Chimia","206"
"Bondorf","206"
"Duclos","206"
"DeMori","205"
"Marakhovsky","205"
"Garnham","205"
"Shimshoni","205"
"Encarnacion","205"
"Matzov","205"
"Panangaden","205"
"Ponthieu","205"
"Onuegbe","205"
"Lanphier","205"
"Ecklund","205"
"Aamodt","205"
"Bennet","205"
"Emden","205"
"Geffroy","205"
"Siprelle","205"
"Argence","204"
"Malinowski","204"
"Whitcomb","204"
"Luders","204"
"Legleitner","204"
"Shiratori","204"
"Swick","204"
"Linares","204"
"Alpin","204"
"Desikan","204"
"Riexinger","204"
"Shrader","204"
"Coors","204"
"Ishibashi","203"
"Tramer","203"
"Conta","203"
